idNode;index;label;level;mass;type;role;pointCount;contourLength1;contourLength2;subtreeCost;tsvNorm;refGraph
558;7;17;4;19;101;2;4;0;0;7;5.52395992228424;18
562;8;18;5;11;101;2;26;0;0;5;4.65369253920931;18
580;9;19;6;1;101;4;75;0;0;1;0;18
604;10;20;6;5;101;2;10;0;0;3;2.82842712474619;18
612;11;21;7;1;101;4;75;0;0;1;0;18
645;12;22;7;1;101;4;78;0;0;1;0;18
687;13;23;5;1;101;4;13;0;0;1;0;18
695;0;#;0;119;105;1;0;0;0;24;9.61828810750819;18
54;24;1;3;3;101;2;84;0;0;2;1;19
93;25;2;4;1;101;4;39;0;0;1;0;19
121;23;3;2;78;101;2;2;0;0;19;6.83599244378238;19
122;1;4;1;199;104;2;5;0;0;43;12.5596914194264;19
128;2;5;2;64;103;2;4;0;0;16;6.43333626285773;19
131;3;6;3;47;101;2;5;0;0;14;6.94982649903733;19
135;4;7;4;22;101;2;4;0;0;8;5.42767262884443;19
140;6;8;6;1;101;4;27;0;0;1;0;19
166;5;9;5;3;101;2;66;0;0;2;1;19
216;7;10;5;11;101;2;3;0;0;5;3.74165738677394;19
219;9;11;7;1;101;4;29;0;0;1;0;19
228;8;12;6;3;101;2;79;0;0;2;1;19
281;11;13;7;1;101;4;39;0;0;1;0;19
301;10;14;6;3;101;2;81;0;0;2;1;19
364;12;15;4;11;101;2;3;0;0;5;3.74165738677394;19
367;14;16;6;1;101;4;36;0;0;1;0;19
378;13;17;5;3;101;2;78;0;0;2;1;19
422;16;18;6;1;101;4;39;0;0;1;0;19
442;15;19;5;3;101;2;80;0;0;2;1;19
489;17;20;3;1;101;4;118;0;0;1;0;19
540;18;21;2;11;101;2;13;0;0;5;4.65369253920931;19
546;19;22;3;1;101;4;85;0;0;1;0;19
582;20;23;3;5;101;2;87;0;0;3;2.82842712474619;19
616;21;24;4;1;101;4;6;0;0;1;0;19
620;22;25;4;1;101;4;12;0;0;1;0;19
625;43;26;3;1;101;4;30;0;0;1;0;19
638;42;27;2;3;101;2;78;0;0;2;1;19
675;26;28;3;56;101;2;5;0;0;16;7.38807114229122;19
680;27;29;4;29;101;2;3;0;0;10;6.80130414958678;19
683;29;30;6;1;101;4;38;0;0;1;0;19
700;28;31;5;3;101;2;79;0;0;2;1;19
740;30;32;5;16;101;2;4;0;0;7;5.29150262212918;19
741;32;33;7;1;101;4;33;0;0;1;0;19
750;31;34;6;3;101;2;91;0;0;2;1;19
801;34;35;7;1;101;4;29;0;0;1;0;19
818;33;36;6;3;101;2;65;0;0;2;1;19
864;36;37;7;1;101;4;30;0;0;1;0;19
881;35;38;6;3;101;2;82;0;0;2;1;19
941;37;39;4;11;101;2;3;0;0;5;3.74165738677394;19
948;39;40;6;1;101;4;33;0;0;1;0;19
969;38;41;5;3;101;2;60;0;0;2;1;19
1015;41;42;6;1;101;4;40;0;0;1;0;19
1048;40;43;5;3;101;2;78;0;0;2;1;19
1092;0;#;0;243;105;1;0;0;0;44;10.2572049432488;19
58;25;1;4;1;101;4;82;0;0;1;0;20
104;24;2;3;5;101;2;24;0;0;3;2.82842712474619;20
120;27;3;3;1;101;4;100;0;0;1;0;20
202;23;4;2;11;101;2;9;0;0;5;4.65369253920931;20
208;14;5;2;26;101;2;2;0;0;9;6.70820393249937;20
211;15;6;3;1;101;4;97;0;0;1;0;20
266;16;7;3;16;101;2;10;0;0;7;5.29150262212918;20
272;18;8;5;1;101;4;31;0;0;1;0;20
290;17;9;4;3;101;2;84;0;0;2;1;20
342;20;10;5;1;101;4;28;0;0;1;0;20
369;19;11;4;3;101;2;95;0;0;2;1;20
